,numeric,text,with_missing,label
367,-9.677444,foo bar,4.566033,a
368,4.195677,foo bar,4.604614,a
369,2.069275,foo,,b
370,-22.51535,bar foo,2.008395,b
371,-5.889705,,,b
372,11.311519,,3.342423,a
373,1.350777,,4.242017,b
374,-12.12269,,,b
375,6.907773,foo,3.015572,b
376,-4.791229,,2.346491,b
377,3.600507,foo,,b
378,3.769201,foo bar,2.78459,a
379,-11.186956,foo,3.185979,b
380,7.89828,bar,2.53045,a
381,-10.075088,bar,3.04724,a
382,-13.057859,foo bar,1.919587,b
383,-8.82829,bar foo,3.160889,b
384,-3.4609,bar,,a
385,1.094032,foo,,b
386,-7.725837,foo bar,,b
387,7.448193,bar foo,3.845701,a
388,2.514642,bar,1.880077,a
389,-6.947982,bar foo,,b
390,8.889929,,1.390305,b
391,11.610684,,3.01357,a
392,-0.986847,,1.225776,b
393,-2.14983,bar,1.798623,a
394,-17.737714,bar foo,,b
395,-4.075126,bar,,a
396,-2.915067,bar foo,1.479633,a
397,2.453794,foo,2.55256,b
398,-1.684264,foo,,b
399,2.440269,bar,3.392493,a
400,15.340903,bar foo,1.372833,a
401,-5.299141,foo,3.26001,b
402,-4.909723,bar foo,2.392147,a
403,-13.091653,foo,4.198668,b
404,-0.086605,bar foo,2.79982,a
405,9.76813,bar,3.359287,a
406,-17.510703,bar,2.890879,b
407,-6.65857,foo bar,3.666444,a
408,0.359405,foo,2.231931,b
409,8.501029,,3.668253,a
410,3.828702,foo bar,4.208963,a
411,3.254636,,4.835561,b
412,-2.243128,foo,,b
413,4.818743,bar,2.463878,a
414,10.143039,,3.57715,a
415,-17.089918,bar,3.807497,a
416,7.285354,foo bar,3.590045,a
417,-0.987598,foo bar,3.753478,a
418,-5.299889,bar,3.423944,a
419,-24.430758,bar foo,2.454745,b
420,-13.803513,foo,,b
421,16.98059,bar foo,3.846787,a
422,-6.885485,foo bar,3.461605,b
423,-10.847688,foo,1.903646,b
424,-4.56426,bar foo,2.122382,b
425,-7.451472,,2.590758,b
426,1.243586,bar foo,2.795186,a
427,15.169737,bar,3.157273,a
428,-5.86616,,,b
429,1.542901,bar,3.794956,a
430,-11.472371,,1.142436,b
431,15.201664,foo bar,3.528702,a
432,1.890434,foo,,b
433,-10.818191,,3.644099,b
434,9.043062,foo bar,-0.066988,a
435,11.999876,foo bar,1.650725,a
436,1.614564,foo,2.647304,b
437,-16.39397,foo,3.168282,b
438,17.851688,,2.918609,a
439,3.101225,foo bar,,a
440,11.704543,foo bar,4.283044,a
441,-5.508932,foo,,b
442,-3.986239,bar,2.605245,a
443,1.104531,foo,,b
444,11.134017,bar,3.068213,a
445,1.4299,bar,4.2587,a
446,-12.568338,bar foo,,b
447,2.619892,bar,,a
448,16.295342,foo,3.066282,b
449,0.658063,,3.120616,b
450,1.293855,foo bar,2.766813,a
451,-12.625437,foo,2.027145,b
452,-14.029891,,4.529014,b
453,-6.376921,bar,,a
454,-3.265176,bar foo,,a
455,1.040607,foo,3.497556,b
456,1.65957,foo bar,2.768708,a
457,16.019077,bar,2.054163,a
458,0.586874,bar foo,2.670004,a
459,10.644227,bar foo,,a
460,-0.393293,bar,5.097841,a
461,14.489036,foo,2.982968,b
462,-18.703975,bar,3.786057,a
463,-5.987318,bar,3.961969,a
464,9.830334,foo,4.080915,b
465,-1.71596,,5.54787,b
466,9.315296,bar,2.904588,a
467,3.850661,foo,2.818138,b
468,9.45877,bar,,a
469,6.130677,bar,,a
470,6.736489,foo bar,3.178877,a
471,14.924554,foo bar,2.731149,a
472,9.86474,bar,,a
473,9.938067,foo bar,,a
474,0.204188,bar,3.269473,a
475,-5.818502,foo,2.001122,b
476,-6.595601,bar,1.185967,a
477,7.509446,bar,3.11524,a
478,-24.384606,foo,4.16263,b
479,-13.071782,,3.661811,b
480,-9.632537,bar,2.982112,a
481,-2.476214,bar,,a
482,-26.31438,bar foo,1.352884,b
483,12.587213,foo,2.31036,b
484,6.001752,,4.678069,b
485,19.845824,bar,4.184119,a
486,10.622145,bar,2.288427,a
487,10.303793,foo,4.754312,b
488,22.50676,,2.282109,a
489,-5.709581,,,b
490,-15.034584,bar foo,4.535918,b
491,-2.323574,foo,4.30774,b
492,-8.249921,bar,2.41144,a
493,-2.568454,foo bar,2.950911,a
494,-10.50219,foo,2.6583,b
495,5.678801,bar foo,3.504139,a
496,5.129828,,,b
497,-0.269226,bar foo,3.532155,a
498,3.115815,bar,2.886096,a
499,-1.420507,bar,1.6537,a
500,7.520337,,3.777963,b
501,0.696407,,1.777053,b
502,-2.654456,bar,2.812867,a
503,9.295845,foo bar,3.958236,a
504,12.608213,,3.811225,a
505,13.374538,foo,3.838713,b
506,-9.902747,bar foo,3.698921,b
507,-5.344472,bar foo,3.145859,a
508,-17.014961,foo,3.302155,b
509,-2.38565,,3.09207,b
510,4.161238,foo bar,3.482577,a
511,-1.328012,foo bar,3.535236,a
512,19.308509,foo,3.133328,b
513,-4.058434,bar,3.513814,a
514,-10.885086,,2.315179,b
515,5.685042,,2.693043,b
516,1.499338,bar,3.230499,a
517,5.496426,bar,4.923513,a
518,3.037879,bar,3.528991,a
519,2.437658,bar foo,2.865264,b
520,-21.222989,foo,2.779776,b
521,-7.26114,foo bar,3.744166,a
522,-5.903249,bar foo,,a
523,-3.479643,foo bar,3.637381,a
524,-4.483916,,,b
525,4.128188,,,b
526,6.008825,,3.472785,b
527,-11.316409,bar foo,3.465624,b
528,6.868044,,,b
529,5.857681,foo bar,2.162917,a
530,4.657701,foo bar,4.09411,a
531,-14.178945,bar,,a
532,4.405823,,4.988274,b
533,0.825954,foo bar,4.752433,a
534,9.608801,,2.39194,a
535,17.843568,foo,,a
536,15.880679,bar foo,3.697242,a
537,1.126442,foo,2.180031,b
538,-0.018747,bar,4.147508,a
539,6.319483,foo,3.529862,b
540,-11.1504,,,b
541,-14.506831,foo bar,3.782064,b
542,-4.725306,bar foo,3.137251,a
543,12.205689,bar,3.412112,a
544,-3.311283,bar,4.524047,a
545,15.025809,bar foo,2.870078,a
546,-27.881129,foo bar,,b
547,-15.872064,bar,2.401611,b
548,-1.236887,foo bar,2.426195,a
549,8.881945,bar,2.781852,a
550,-0.696231,foo bar,2.379619,b
551,-0.956527,,3.567861,b
552,-1.217415,bar,1.676564,a
553,-17.628977,foo,3.829547,b
554,11.580689,bar,2.238471,a
555,-6.827647,foo bar,3.377705,a
556,10.895327,bar foo,1.812567,a
557,-0.705234,bar foo,3.477732,a
558,10.681604,foo bar,4.084007,a
559,3.43258,,3.009771,b
560,-1.066745,foo,4.548682,b
561,2.262616,bar,2.860093,a
562,-14.729776,bar,,b
563,0.060293,foo bar,2.074533,a
564,17.160403,bar,3.438431,a
565,13.081936,foo bar,2.431861,a
566,-9.850236,foo bar,2.279609,b
567,5.056859,foo bar,4.580104,a
568,2.479799,bar foo,1.729779,a
569,8.171883,bar,,a
570,0.941529,bar foo,3.71279,a
571,-2.33504,foo bar,3.234071,b
572,13.306308,foo bar,,a
573,2.163966,foo bar,3.603909,a
574,12.554643,bar,1.621001,a
575,9.743862,bar foo,2.556748,a
576,-3.244872,bar,,a
577,-1.670003,foo,0.079971,b
578,19.298324,foo,2.894099,a
579,1.914823,foo,3.665877,b
580,-7.586284,foo,2.829916,b
581,-12.000433,foo bar,3.18493,b
582,9.741324,bar foo,5.261787,a
583,1.602937,,,b
584,-7.92092,,3.059386,b
585,6.745848,foo,5.587009,b
586,1.597487,bar foo,2.363629,b
587,-16.604751,bar,3.519677,b
588,5.886856,bar,1.423376,a
589,13.331907,foo,3.398328,a
590,25.598502,foo,,a
591,0.349026,bar,3.060793,a
592,2.326497,,,b
593,16.065968,,3.280004,a
594,1.687223,foo bar,1.927373,a
595,2.753419,,2.616655,b
596,-6.306184,bar,3.006061,a
597,-13.943751,foo,1.570824,b
598,9.126879,bar,3.802569,a
599,-12.735702,bar,4.882882,a
600,11.406562,foo bar,3.303544,a
601,-7.881656,,2.472287,b
602,2.65234,,0.698076,b
603,-3.722717,bar,1.479092,a
604,11.746002,foo bar,3.339229,a
605,3.008464,bar,,a
606,19.590954,bar foo,2.779916,a
607,-10.836777,bar foo,,b
608,4.138631,,2.128975,b
609,0.473419,bar,2.427771,a
610,2.799436,,,b
611,15.959212,bar foo,2.689434,a
612,5.85318,bar foo,3.892387,a
613,-11.475254,bar,1.318218,a
614,5.335108,foo bar,2.44036,a
615,-4.156194,,,b
616,-4.73355,bar,2.180851,b
617,10.458573,bar foo,2.851956,a
618,-6.0234,,4.021206,b
619,-3.797303,foo,3.455709,b
620,0.324073,,,b
621,9.461859,foo bar,,a
622,5.815898,bar,,a
623,-2.344149,bar,2.98713,a
624,-2.721765,foo bar,2.800505,a
625,-11.601297,,3.313372,b
626,-7.598351,,3.181113,b
627,-6.543811,bar foo,3.866433,b
628,-1.492909,,3.116592,b
629,19.86763,foo,4.689931,a
630,-6.754694,foo bar,3.519226,a
631,-2.958291,bar foo,4.47831,a
632,-20.523984,bar,3.72025,b
633,6.005711,foo bar,2.327214,a
634,-15.774488,bar,4.242918,a
635,-9.065895,foo bar,4.184177,a
636,10.423354,bar,,a
637,-21.049284,bar,,b
638,0.959204,bar foo,4.442759,a
639,8.009296,,4.054388,b
640,15.254442,,1.539582,a
641,-9.200931,foo bar,3.858762,b
642,-6.240249,bar foo,4.727235,a
643,18.044363,,3.606698,a
644,-0.250601,bar,,a
645,-7.362639,foo bar,2.216185,b
646,-7.174858,,3.400504,b
647,-9.725563,foo,2.784465,b
648,-4.396722,,4.277663,b
649,10.882205,bar,3.731249,a
650,8.877661,bar foo,4.963178,a
651,-11.742703,foo bar,,b
652,2.145861,bar,3.552537,a
653,-4.021597,bar,2.685666,a
654,7.824404,foo,4.404462,b
655,-1.563597,bar,3.005498,a
656,3.715247,foo,1.9741,b
657,-1.586052,bar,3.048171,a
658,-21.870859,,2.908144,b
659,0.470024,foo bar,,a
660,-12.717469,bar foo,3.827838,b
661,7.471284,foo,2.859572,b
662,-6.798279,bar foo,,b
663,-6.050127,foo bar,2.219091,b
664,-0.089028,foo,,b
665,5.77794,bar,3.774326,a
666,-1.697438,foo,2.753172,b
667,16.421828,bar foo,,a
668,16.488179,foo bar,5.184314,a
669,17.154686,bar,3.316195,a
670,-2.343187,,3.733307,b
671,-14.819585,bar,3.746238,a
672,12.200785,bar,,a
673,-4.163453,,3.527625,b
674,0.381663,bar,2.026988,a
675,6.283201,bar,4.448209,a
676,-16.044364,bar foo,4.24695,b
677,16.291212,,3.190215,a
678,8.749623,foo,,b
679,3.522716,bar,1.760377,a
680,8.909168,bar,4.029311,a
681,5.569525,bar foo,2.744963,a
682,1.168281,bar,,a
683,-3.077743,bar foo,1.559326,b
684,-7.391423,bar foo,3.631455,b
685,2.872143,bar,2.824749,a
686,3.612031,bar,3.011908,a
687,10.831988,bar,1.582188,a
688,2.0066,,3.679064,b
689,-8.532015,foo bar,,b
690,-15.762328,foo bar,2.952989,b
691,-1.275622,bar foo,3.804181,a
692,-0.274584,,2.914331,b
693,-0.980916,,4.986243,b
694,-15.305129,foo,2.101197,b
695,10.744651,foo,3.240486,b
696,10.726297,foo bar,3.413323,a
697,-8.232852,,1.981027,b
698,8.059821,bar,3.087409,a
699,9.528309,bar foo,2.805118,a
700,0.384471,foo,3.225814,b
701,-9.484986,bar,3.453648,a
702,16.133815,bar foo,,a
703,3.809214,,3.288174,b
704,-2.510375,foo,3.547069,b
705,7.728454,foo,4.499316,b
706,16.222085,foo bar,1.415736,a
707,-4.971601,foo,2.738803,b
708,6.914225,,3.038172,b
709,19.431602,foo bar,1.44444,a
710,-11.165648,bar foo,,b
711,-5.492536,foo,0.644194,b
712,-5.978551,foo bar,3.705538,b
713,-1.583271,,,b
714,-2.099737,,1.748815,b
715,3.007954,bar,,a
716,-8.203755,foo bar,1.332427,b
717,-6.226635,bar foo,5.05378,a
718,3.012905,,3.116603,b
719,1.549119,,2.902907,b
720,8.740798,bar,4.203193,a
721,4.09355,foo bar,2.920291,a
722,7.718466,bar foo,3.240631,a
723,-11.42952,foo,2.8441,b
724,-3.834163,bar,2.498183,a
725,18.4838,,3.371188,a
726,3.92078,foo,3.525028,b
727,7.47393,foo bar,,a
728,2.727347,bar,2.118827,a
729,4.253359,bar foo,2.340585,a
730,-2.309041,,2.970412,b
731,35.715792,,,a
732,-3.961559,bar foo,5.156086,a
733,-0.383212,,3.27504,b
734,-24.248363,foo,2.825656,b
735,11.062667,foo bar,,a
736,-5.522529,,3.985283,b
737,-0.607941,bar,,a
738,-5.280406,foo,3.341755,b
739,-1.386829,bar,2.999321,a
740,-2.842471,foo bar,,a
741,-0.430418,foo bar,3.4787,a
742,-0.528015,,,b
743,-1.542053,,3.003833,b
744,-1.678772,,3.093429,b
745,13.085185,foo,,a
746,8.814169,bar,,a
747,8.874423,bar foo,2.965927,a
748,-7.324489,foo,,b
749,12.568208,bar foo,,a
750,11.316445,bar foo,0.909881,a
751,-5.534043,bar foo,1.614965,b
752,15.23852,,3.075198,a
753,-6.832259,bar foo,2.27924,b
754,-18.420318,bar,3.133925,b
755,11.01526,,2.981538,b
756,-1.195188,bar,2.530846,a
757,9.769216,foo bar,2.085002,a
758,-7.542022,bar,3.195487,a
759,-12.6177,bar foo,,b
760,12.318718,foo bar,2.876111,a
761,-14.072686,bar foo,3.872414,b
762,-15.610305,foo,3.201334,b
763,-19.255869,bar foo,2.403968,b
764,-27.944723,foo bar,2.641406,b
765,-10.391044,bar foo,2.938069,b
766,-21.69408,foo bar,3.123191,b
767,-0.356055,foo,4.336415,b
768,-22.364174,bar foo,4.688077,b
769,-10.942734,foo bar,2.531055,b
770,23.32062,foo bar,1.980593,a
771,3.451242,foo bar,,a
772,0.528057,foo bar,3.420126,a
773,-16.20752,bar foo,3.832786,b
774,-2.455977,,2.591885,b
775,0.481086,bar,2.085823,a
776,-16.051808,foo bar,3.382361,b
777,1.261807,,3.623593,b
778,11.912325,bar foo,4.034644,a
779,-3.482581,foo,2.362283,b
780,-1.972364,foo bar,3.328862,a
781,-20.420964,,,b
782,-13.992339,,2.894303,b
783,10.576951,foo,3.718515,b
784,-6.615506,,,b
785,-9.297116,,3.302163,b
786,-6.925831,bar,2.75825,a
787,-0.574661,bar foo,1.594039,a
788,-11.584159,foo,3.228371,b
789,1.265165,foo bar,3.631759,a
790,-13.600077,bar,4.013666,a
791,7.74,foo bar,,a
792,-10.570558,bar,2.044529,b
793,13.202683,,,a
794,-0.100327,foo,,b
795,-8.456444,bar,2.737601,a
796,9.114606,,2.197554,b
797,-13.744969,bar,,a
798,-5.470656,bar foo,,a
799,-0.000755,foo,2.476518,b
800,-1.211668,bar foo,3.706333,a
801,-20.085855,foo bar,3.43073,b
802,-9.206465,bar foo,2.665675,b
803,1.682343,,2.980175,b
804,-13.198916,foo bar,1.460934,b
805,12.664293,foo bar,,a
806,4.951809,foo bar,1.606193,a
807,-5.142404,foo,2.722668,b
808,-2.202925,foo bar,2.538656,a
809,18.615641,bar foo,3.466579,a
810,9.359885,foo bar,2.555858,a
811,3.802191,foo,2.953042,b
