NAME,the_geom,TEL,URL,ADDRESS1,ADDRESS2,CITY,ZIP
Poller Leah,POINT (-73.99973975533851 40.72417671147656),(212) 274-1704,http://www.sculpture.org/portfolio/sculptorPage.php?sculptor_id=1003310,98 Greene St,,New York,10012
Portara Gallery,POINT (-73.76753263900895 40.75653978324558),(718) 224-7093,http://newyork.citysearch.com/profile/map/12036088/bayside_ny/portara_gallery.html,4720A Bell Blvd,,Bayside,11361
Portico Fine Art,POINT (-74.0008266559124 40.724259321517835),(212) 941-8248,http://www.porticony.com/,139 Spring St,,New York,10012
Portrait Gallery,POINT (-73.92228135415756 40.60993574125617),(718) 377-8762,http://brooklyn.ny.povo.com/Portrait_Gallery_%28Kings_Highway%29,5100 Kings Plz,,Brooklyn,11234
Postmasters Gallery,POINT (-74.00534660392837 40.745202434263945),(212) 727-3323,http://www.postmastersart.com/,459 W 19th St,,New York,10011
Praxis International Art,POINT (-73.96513542144585 40.77277684295719),(212) 772-9478,http://galleries.absolutearts.com/galleries/praxis-art/index.html,25 E 73rd St,Fl 4,New York,10021
Prieto International Attorney In Fact Johnpoll,POINT (-74.00723565260127 40.71024984423636),(212) 267-6790,http://m.nyc.com/arts__attractions/prieto_international_attorney_in_fact_johnpoll.793/whats_nearby.aspx?sec=pha,127 Fulton St,,New York,10038
Prince Street Gallery,POINT (-74.00469480010908 40.749337897473445),(646) 230-0246,http://www.princestreetgallery.com/contact.html,530 W 25th St,,New York,10001
Professional Fine Arts Svces Inc,POINT (-73.99573169554829 40.74191723417448),(646) 336-6613,http://www.nyc.com/arts__attractions/professional_fine_arts_svces_inc.724/editorial_review.aspx,141 W 20th St,,New York,10011
Proposition the,POINT (-74.00714842024912 40.74820539748208),(212) 242-0035,http://www.theproposition.com/,162 11th Ave,,New York,10011
Public Art Fund,POINT (-73.97518753856254 40.760375484073926),(212) 980-4575,http://www.publicartfund.org/,1 E. 53d St.,,New York,10022
Puerto Rican Work Shop Inc,POINT (-73.94672759344712 40.7926998453047),(212) 534-7534,http://www.nyc.com/arts__attractions/puerto_rican_work_shop_inc.1733/whats_nearby.aspx,121 E 106th St,,New York,10029
Pushman Gallery Inc,POINT (-73.979913078835 40.76499908899108),(212) 582-0130,http://local.botw.org/New_York/New_York/Pushman_Gallery_Inc/10887507.html,154 W 57th St,,New York,10019
Pytlak Art Studio,POINT (-73.94988527250548 40.71427612774082),(718) 599-1265,http://www.anitapytlak.net/uk/index.html,573 Metropolitan Ave,,Brooklyn,11211
Queen Art Publishers Inc,POINT (-74.00979549289632 40.72549195065175),(212) 274-0237,http://www.lights.ca/publisher/db/9/3739.html,481 Washington St,,New York,10013
Questroyal Fine Art,POINT (-73.96001773937685 40.77572380172859),(212) 744-3586,http://www.questroyalfineart.com/,903 Park Ave,Apt 3A,New York,10021
Rabenou Yris Ancient Arts,POINT (-73.96383620358236 40.762223977689416),(212) 486-0661,http://www.antiquecollectiblestore.com/detail/48742/rabenou-yris-ancient-arts.html,249 E 61st St,,New York,10021
Radio House Gallery,POINT (-74.00698522749778 40.75178267196637),(212) 620-7630,http://gallerydriver.com/?method=Gallery.GalleryDetail&GalleryID=489D6139-3048-28EB-92ED919F6F1756B9,601 W 26th St,,New York,10001
Rafael Gallery,POINT (-73.96484847311721 40.76106891398838),(212) 744-8666,http://www.getfave.com/locations/888896-rafael-gallery,241 E 59th St,,New York,10022
Rainbow Fine Art Inc,POINT (-73.96108478026073 40.77866480998064),(212) 585-2587,http://local.botw.org/New_York/New_York/Rainbow_Fine_Art_Inc/11030300.html,15 E 82nd St,,New York,10028
Ralph Chait Galleries Inc,POINT (-73.97472467424907 40.76269798806097),(212) 397-2818,http://www.rmchait.com/,724 5th Ave,,New York,10019
Randel Gallery Inc,POINT (-73.96194182288089 40.77557044121497),(212) 861-6650,http://www.antiquesandfineart.com/dealers/about.cfm?id=427&ap=1,49 East 78th Street,1B,New York,10021
Randolph & Tate Assocs,POINT (-73.98804680373928 40.74435684322828),(212) 595-6302,http://directory.northjersey.com/randolph+tate+assocs.9.7658139p.home.html,234 5th Ave,,New York,10001
Raphael Fodde Editions,POINT (-73.98997735599107 40.70208740023595),(718) 624-6048,http://www.yelp.com/biz/raphael-fodde-editions-brooklyn,70 WASHINGTON ST,,Brooklyn,11201
Rare art Gallery,POINT (-74.00368999417438 40.75021572567968),(212) 268-1520,http://www.rare-gallery.com/,521 W 26th St Bsmt,,New York,10001
Raydon Gallery,POINT (-73.96032667632238 40.77833720539059),(212) 288-3555,http://www.rateitall.com/i-410005-raydon-gallery.aspx,1091 Madison Ave,,New York,10001
Red Dot,POINT (-73.99505920460594 40.74274457506512),(212) 675-0448,http://www.rateitall.com/i-410007-red-dot.aspx,140 W 22nd St,,New York,10011
Reece Galleries Inc The,POINT (-73.97570995606252 40.7633560679256),(212) 333-5830,http://www.reecegalleries.com/,24 W 57th St,,New York,10019
Reeves Contemporary Inc,POINT (-74.00518820857934 40.74928257893011),(212) 714-0044,http://www.cynthia-reeves.com/,535 W 24th St,,New York,10011
Regina's Art Center,POINT (-74.00172859190214 40.603379984260826),(718) 837-5807,http://www.reginasartcenter.com/contact.html,1921 Benson Ave,,Brooklyn,11214
Rehs Galleries Inc,POINT (-73.973110440921 40.76297400449145),(212) 355-5710,http://www.rehs.com/,5 E 57th St,Fl 8,New York,10022
Reinhold Brown Gallery,POINT (-73.96068894272547 40.77864024499883),(212) 734-7999,http://gallerydriver.com/?method=Gallery.GalleryDetail&GalleryID=489D6945-3048-28EB-92C3310EAAC2B0DD,1100 Madison Ave,Ph,New York,10028
Renaissance Gallery,POINT (-73.94134747495355 40.82412358361577),(212) 234-0974,http://www.livevillage.com/newyork/art/renaissance-gallery.html,300 W 147th St,,New York,10039
Resnick Ira Inc,POINT (-73.96881061087802 40.76189452972676),(212) 223-1009,http://www.nyc.com/search/find.aspx?secid=2&name=Resnick%20Ira%20Inc,133 E 58th St,Ste 1001,New York,10022
Ricco Maresca Gallery,POINT (-74.0068465345964 40.74661224727327),(212) 627-4819,http://www.riccomaresca.com,529 W 20th St,,New York,10011
Richard Gray Gallery,POINT (-73.96268744300946 40.776035116594834),(212) 472-8787,http://www.richardgraygallery.com/default.asp,1018 Madison Ave,,New York,10021
Richard Solomon,POINT (-73.96796822375437 40.75490203267615),(212) 223-9545,http://www.richardsolomon.com/,305 E 50th St,,New York,10022
Richard York Gallery,POINT (-73.96884242026259 40.76764185257714),(212) 772-9155,http://gallerydriver.com/?method=Gallery.GalleryDetail&GalleryID=489D6E92-3048-28EB-924791189BBB08A3,21 E. 65th St.,2nd. Fl.,New York,10065
Rienzo Gallery,POINT (-73.9671517745906 40.769830800695885),(212) 288-2226,http://www.artnet.com/Galleries/About.asp?G=&gid=166017&which=&rta=http://www.artnet.com,20 E 69th St,,New York,10021
Ritter-Antik Inc,POINT (-73.99270194219845 40.732504272410424),(212) 673-2213,http://www.ritterantik.com/index.php,35 E 10th St,,New York,10003
Rivington Bar & Art Gallery,POINT (-73.98443865749057 40.719087479643825),(212) 253-7703,http://www.nyc.com/arts__attractions/rivington_bar__art_gallery.1676/whats_nearby.aspx,174 Rivington St,,New York,10002
Robert Lee Morris Inc,POINT (-74.00236650608144 40.724407088132416),(212) 431-9405,http://www.robertleemorris.com/contactus.php,400 W Broadway,,New York,10012
Robert Mann Gallery,POINT (-74.00591124427345 40.749743384358574),(212) 989-7600,http://www.robertmann.com/,210 11th Ave,,New York,10001
Robert Miller Gallery Inc,POINT (-74.00423398601862 40.74998085501487),(212) 366-4774,http://www.robertmillergallery.com/index2.html,526 W 26th St,,New York,10001
Robert Steele Gallery,POINT (-74.00398547780941 40.74942345786739),(212) 243-0165,http://www.robertsteelegallery.com/,511 W 25th St,,New York,10001
Robertson African Arts,POINT (-73.99212377125507 40.7415083515344),(212) 206-0912,http://wap.outalot.com/listings/314463-Robertson-African-Arts,36 W 22nd St,Apt 4,New York,10010
Rogallerycom,POINT (-73.95726808829765 40.76970749577403),(212) 732-6887,http://www.auction-directory.info/auction/rogallerycom-300-east-74th-street-new-york-ny-212-732-6887/1283,300 East 74th Street,,New York,10021
Ronald Feldman Fine Arts,POINT (-74.00185591328102 40.7211603892599),(212) 226-3232,http://www.feldmangallery.com/pages/home_frame.html,31 Mercer St,,New York,10013
Roosevelt Island Visual Arts Assoc,POINT (-73.95643509706022 40.7535986702466),(212) 308-6630,http://rivaa.com/,527 Main St,,New York,10044
Rosen Andrea Gallery Inc,POINT (-74.00493762277485 40.74904372260324),(212) 627-6000,http://www.andrearosengallery.com/,525 W 24th St,,New York,10011
Rosenberg & Kaufman Fine Art,POINT (-74.00070940720575 40.72502497030408),(212) 431-4838,http://www.robertkuszek.com/,115 Wooster St,,New York,10012
Rosenberg Paul & Co,POINT (-73.96251598937279 40.77623795678713),(212) 472-1134,http://local.botw.org/New_York/New_York/Rosenberg_Paul_and_Co/11505286.html,20 E 79th St,,New York,10021
Ross Luise Gallery,POINT (-74.00391752109321 40.74945791536082),(212) 343-2161,http://www.luiserossgallery.com/,511 West 25 Street,,New York,10001
Roth,POINT (-73.9625371631743 40.76883963218358),(212) 717-9067,http://www.andrewroth.com/,160A E 70th St,,New York,10021
Rotunda Gallery,POINT (-73.99146799382999 40.69515733841206),(718) 875-4047,http://www.nyc-arts.org/organizations/1668/rotunda-gallery,33 Clinton St,,Brooklyn,11201
Royal Fine Art,POINT (-73.95868741367525 40.77550888584743),(212) 452-4297,http://m.nyc.com/arts__attractions/royal_fine_art.361/map_location.aspx,1158 Lexington Ave,,New York,10021
Royal-Athena Galleries,POINT (-73.96804936659153 40.760786110700764),(212) 355-2033,http://www.royalathena.com/,153 E 57th St,Ph,New York,10022
Rudolph De Paola Art Gallery,POINT (-74.02172406852321 40.6179934963939),(718) 238-6026,http://www.merchantcircle.com/business/Rudolph.de.Paola.Art.Gallery.718-238-6026,6 Parrott Pl,,Brooklyn,11228
Ruesch Jeffrey Fine Arts,POINT (-74.00107130886676 40.72382475175759),(212) 925-1137,http://www.rateitall.com/i-410032-ruesch-jeffrey-fine-arts.aspx,134 Spring St,Fl 2,New York,10012
Russeck Gallery,POINT (-74.00056532211813 40.72679315564427),(212) 475-9939,http://local.botw.org/New_York/New_York/Russeck_Gallery/11582297.html,478 W Broadway,,New York,10012
Russian World,POINT (-73.97604749164573 40.7619257405724),(212) 399-6500,http://www.nyc.com/arts__attractions/russian_world.1710/map_location.aspx,18 W 55th St,,New York,10019
S & A Art Gallery Inc,POINT (-73.95658934527663 40.778446433456885),(212) 794-5251,http://www.masterseek.com/id/48817904/S-and-A-Art-Gallery.htm,1248 Lexington Ave,,New York,10028
S 2 Editions Ltd,POINT (-74.00479226201507 40.72529481116742),(212) 206-7345,http://www.nyc.com/arts__attractions/s_2_editions_ltd.958/editorial_review.aspx,155 Ave of the Americas,,New York,10013
S E Art & Design Inc,POINT (-73.96523800836928 40.76074545206315),(212) 980-1914,http://www.seartanddesign.com/contactus.html,232 E 59th St,,New York,10022
Sabarsky Serge Gallery,POINT (-73.96160396766 40.77589272888765),(212) 628-6281,http://local.botw.org/New_York/New_York/Sabarsky_Serge_Gallery/11637783.html,58 E 79th St,,New York,10021
Sabbatique Ltd,POINT (-73.97398003703451 40.73684451842),(212) 213-9344,http://www.sabbatiqueltd.com/contact.htm,10 Waterside Plz,,New York,10010
Sabrina Enterprise.Com Artworks Sales and Rprdctns,POINT (-73.86790725213015 40.75905863804786),(718) 335-5088,http://www.nyc.com/arts__attractions/sabrina_enterprisecom_artworks_sales_and_rprdctns.1874/editorial_review.aspx,10022 32nd Ave,,East Elmhurst,11369
Sacks Fine Art,POINT (-73.96475380699054 40.76182788882621),(212) 333-7755,http://sacksfineart.com/,229 East 60th Street,,New York,10022
Safani Gallery Inc,POINT (-73.96369840924123 40.77483293527021),(212) 570-6360,http://local.botw.org/New_York/New_York/Safani_Gallery_Inc/56446980.html,980 Madison Ave,,New York,10021
Salz Trager Janet,POINT (-73.96550966274957 40.76954041095984),(212) 744-6080,http://metroproper.com/business/profile/view/&id=59220,700 Park Ave,,New York,10021
Sam's Souk,POINT (-73.96253150655406 40.76945600789786),(212) 535-7210,http://www.manta.com/coms2/dnbcompany_8m39fn,979 Lexington Ave,,New York,10021
Sanada Ikkanart Intl,POINT (-73.9597778376811 40.78007651787356),(212) 734-3055,http://local.botw.org/New_York/New_York/Sanada_Ikkanart_Intl/154034137.html,30 E 85th St,,New York,10028
Sands & Company Inc Fine Art At Madison Av,POINT (-73.96342194003462 40.774137804658366),(212) 988-3900,http://www.nyc.com/arts__attractions/sands__company_inc_fine_art_at_madison_av.848/editorial_review.aspx,30 E 76th St,,New York,10021
Sara Meltzer On View,POINT (-73.99709362546815 40.72470086058279),(212) 343-8256,http://www.sarameltzergallery.com/artist.php?artist=tallichet&p=cv,588 Broadway,#612,New York,10012
Sarafina Inc,POINT (-73.9693726839187 40.69329478591217),(718) 522-1083,http://m.nyc.com/arts__attractions/sarafina_inc.739/whats_nearby.aspx?sec=att,411 Myrtle Ave,,Brooklyn,11205
Sarajo Inc,POINT (-73.99880177429456 40.72527106908656),(212) 966-6156,http://www.yelp.com/biz/sarajo-inc-new-york,130 Greene St,,New York,10012
Sarina Tang Fine Art,POINT (-74.00525477577852 40.74841075541706),(212) 242-9001,http://web2.userinstinct.com/30817016-sarina-tang-fine-art.htm,535 W 23rd St,,New York,10011
Savacou Galleries,POINT (-73.98626836015879 40.73178217523588),(212) 473-6904,http://www.artchain.com/cgi-bin/showorganization.cgi?org=150,240 E 13th St,,New York,10003
Sayn-Wittgenstein,POINT (-73.96141027379505 40.77036690857002),(212) 288-1493,http://www.sw-fineart.com/,155 E 72nd St,,New York,10021
Schellmann Editions,POINT (-74.00585461846735 40.749826941600126),(212) 219-1821,http://www.editionschellmann.com/,210 11th Ave,,New York,10001
Schickler Howard Fine Art,POINT (-73.9899230191079 40.70287471566356),(212) 431-6363,http://www.schicklerart.com/,100 Water St,,Brooklyn,11201
Schillay Fine Art,POINT (-73.95267537512437 40.76613926035685),(212) 861-8353,http://www.schillay.com/contact.html,520 E 72nd St,,New York,10021
Schiller & Bodo Fine Art,POINT (-73.96628742693697 40.76612066503104),(212) 772-8627,http://www.schillerandbodo.com/,120 E 65th St,,New York,10021
Schlesinger Gallery,POINT (-73.96547437151817 40.77245891705941),(212) 734-3600,http://newyork.maplist.org/viewthread.php?tid=442872,24 E 73rd St,,New York,10021
Scholten Japanese Art,POINT (-73.96707156094901 40.7677175399878),(212) 585-0474,http://www.artinfo.com/galleryguide/19648/6194/scholten-japanese-art-new-york/inventory/,63 E 66th St,,New York,10021
Schonfeld R D & Co Inc,POINT (-73.9669851798845 40.753635380576966),(212) 755-7005,http://www.nyc.com/arts__attractions/schonfeld_r_d__co_inc.288/whats_nearby.aspx,349 E 49th St,Apt 6B,New York,10017
Sculpture Center,POINT (-73.94081426624797 40.746921327465024),(718) 361-1750,http://www.sculpture-center.org/,44-19 Purves St,,Long Island City,11101
Sean Kelly Inc,POINT (-74.00306879167971 40.75188382019684),(212) 239-1181,http://www.skny.com/,526 W 29th St,,New York,10001
Sears-Peyton Gallery,POINT (-74.0057991263059 40.74991739032808),(212) 966-7469,http://www.searspeyton.com/html/home.asp,210 11th Ave,,New York,10001
Seaside Summer Concert Series Inc,POINT (-73.96089003981638 40.65968268185264),(718) 469-1912,http://www.nyc.com/arts__attractions/seaside_summer_concert_series_inc.1588/editorial_review.aspx,572 Flatbush Ave,,Brooklyn,11225
Second Ave Art Expo,POINT (-73.96741088497615 40.7558314157737),(212) 223-9095,http://www.merchantcircle.com/business/Second.Ave.Art.Expo.212-223-9095,980 2nd Ave,,New York,10022
Seibold Eleanor,POINT (-73.94807967210905 40.77506696449551),(212) 988-4731,http://www.nyc.com/arts__attractions/seibold_eleanor.1833/map_location.aspx,1601 York Ave,,New York,10028
Senior & Shopmaker,POINT (-73.98681734650098 40.74327330486988),(212) 213-6767,http://www.seniorandshopmaker.com/,21 E 26th St,,New York,10010
Sepia International Inc the,POINT (-73.99450269931272 40.74425012968437),(212) 645-9444,http://www.sepia.org/,148 W 24th St,Fl 11,New York,10011
Serbin Inna,POINT (-73.95440566613355 40.771111865592246),(212) 249-5252,http://www.nyc.com/arts__attractions/serbin_inna.1675/whats_nearby.aspx,342 E 77th St,,New York,10021
Serger Helen La Boetie,POINT (-73.96122592165297 40.77875554623769),(212) 535-4865,http://boundlessgallery.com/directory/gallery/618/Helen-Serger-LA-Boetie,9 E 82ND ST,STE 3A,New York,10028
Seven Colors,POINT (-73.97882343724704 40.755678044060986),(212) 681-9091,http://www.livevillage.com/newyork/art/seven-colors.html,555 5th Ave,,New York,10017
Shades of Art,POINT (-73.97949383741295 40.68753305466083),(718) 834-0084,http://www.merchantcircle.com/business/Shades.of.Art.718-834-0084,47 Flatbush Ave,,Brooklyn,11217
Shainman Jack Gallery,POINT (-74.006263402563 40.7463655471036),(212) 645-1701,http://www.jackshainman.com/,513 W 20th St,,New York,10011
Shapolsky Anita Gallery,POINT (-73.96455976643841 40.7653957451292),(212) 452-1094,http://www.anitashapolskygallery.com/,152 E 65th St,,New York,10021
Shawn Dulaney Studio,POINT (-73.992055668654 40.74147186911685),(212) 255-7986,http://www.shawndulaney.com/,34 W 22nd St,,New York,10010
Shepherd & Derom Galleries,POINT (-73.96166653283252 40.77579398709301),(212) 861-4050,http://www.shepherdgallery.com/feature.html,58 E 79th St,,New York,10021
Shickman H Gallery,POINT (-73.95972631317878 40.76901768334879),(212) 249-3800,http://whrrl.com/place/1220422/shickman-h-gallery-new-york,220 E 72nd St,,New York,10021
Shulman B & M Inc,POINT (-73.9450654828952 40.600273523844436),(718) 646-6022,http://brooklyn.citysearch.com/profile/601893311/brooklyn_ny/b_m_shulman_inc.html,2623 Avenue U,,Brooklyn,11229
Sigrid Freundorfer Fine Art,POINT (-73.96809592587059 40.76848322657679),(212) 517-9700,http://oneartworld.com/Sigrid+Freundorfer+Fine+Art.html,790 Madison Ave,,New York,10021
Silverstein Gallery Inc,POINT (-74.00610391839206 40.7465866957298),(212) 929-4300,http://gallerydriver.com/?method=Gallery.GalleryDetail&GalleryID=489CC5FF-3048-28EB-9213D9BD1A052B8E,520 West 21st St,,New York,10011
Simply Marvelous Art,POINT (-73.79975655329956 40.70412220555415),(718) 291-9862,http://www.simplymarvelousart.com/,159-15 Jamaica Ave,,Jamaica,11432
Skoto Gallery,POINT (-74.00685030055344 40.746676581928234),(212) 352-8058,http://www.skotogallery.com/homepage,529 W 20th St,,New York,10011
Sloan McGill Collection,POINT (-73.95565084132937 40.65961513441343),(718) 469-1930,http://www.nyc.com/arts__attractions/sloan_mcgill_collection.1894/editorial_review.aspx,150 Midwood St,,Brooklyn,11225
Smack Mellon Studios,POINT (-73.98985972420431 40.703750736899),(718) 422-0989,http://www.smackmellon.org/,92 Plymouth St,,Brooklyn,11201
Smith Gallery,POINT (-74.00265775483314 40.748146010251716),(212) 744-6171,http://www.nyc.com/arts__attractions/smith_gallery.185/editorial_review.aspx,447 W 24th St,,New York,10011
