Date,Block,Primary Type,Description,Location Description,Arrest,Domestic,District
09/01/2016 03:00:00 AM,085XX S LOOMIS BLVD,OTHER OFFENSE,TELEPHONE THREAT,RESIDENCE,false,false,6
01/09/2017 06:10:00 PM,001XX W CHESTNUT ST,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,false,false,18
10/21/2016 08:06:00 PM,009XX S AUSTIN BLVD,OTHER OFFENSE,HARASSMENT BY ELECTRONIC MEANS,NURSING HOME/RETIREMENT HOME,false,false,15
07/30/2016 08:34:00 PM,103XX S VERNON AVE,BATTERY,SIMPLE,PARKING LOT/GARAGE(NON.RESID.),false,false,5
11/27/2016 10:00:00 AM,069XX W FOSTER AVE,CRIM SEXUAL ASSAULT,NON-AGGRAVATED,RESIDENCE,false,false,16
06/09/2016 02:30:00 PM,047XX S RICHMOND ST,BATTERY,SIMPLE,"SCHOOL, PUBLIC, GROUNDS",false,false,9
06/12/2016 11:50:00 AM,027XX W 72ND ST,NARCOTICS,POSS: HEROIN(BRN/TAN),STREET,true,false,8
07/13/2016 03:30:00 AM,050XX W THOMAS ST,THEFT,$500 AND UNDER,APARTMENT,false,false,15
05/24/2016 10:55:00 PM,074XX S STONY ISLAND AVE,BATTERY,DOMESTIC BATTERY SIMPLE,PARKING LOT/GARAGE(NON.RESID.),false,true,3
09/29/2016 04:00:00 AM,113XX S FRONT AVE,CRIMINAL DAMAGE,TO PROPERTY,DRIVEWAY - RESIDENTIAL,false,false,5
07/09/2016 02:00:00 PM,013XX E 52ND ST,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,false,false,2
09/26/2016 12:05:00 AM,035XX W 78TH ST,ROBBERY,ARMED: HANDGUN,STREET,false,false,8
02/11/2017 04:00:00 PM,021XX W BELMONT AVE,DECEPTIVE PRACTICE,CREDIT CARD FRAUD,SMALL RETAIL STORE,false,false,19
08/30/2016 09:30:00 AM,066XX S ROCKWELL ST,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,false,false,8
09/29/2016 02:00:00 PM,038XX W ROOSEVELT RD,ASSAULT,SIMPLE,GAS STATION,false,false,10
06/27/2016 08:00:00 PM,050XX S DR MARTIN LUTHER KING JR DR,OTHER OFFENSE,TELEPHONE THREAT,RESIDENCE,false,false,2
06/04/2016 08:45:00 PM,088XX S ESCANABA AVE,THEFT,$500 AND UNDER,APARTMENT,true,false,4
09/19/2016 06:05:00 PM,094XX S VERNON AVE,ASSAULT,SIMPLE,STREET,false,false,6
02/14/2017 08:00:00 PM,042XX N KEDZIE AVE,CRIMINAL DAMAGE,TO VEHICLE,STREET,false,false,17
05/20/2016 06:30:00 PM,088XX S HOUSTON AVE,OFFENSE INVOLVING CHILDREN,OTHER OFFENSE,RESIDENCE,false,true,4
09/06/2016 01:00:00 PM,003XX W 59TH PL,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,RESIDENCE,false,false,7
12/29/2016 05:00:00 PM,067XX N MOZART ST,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,false,false,24
09/17/2016 02:45:00 PM,023XX S INDIANA AVE,THEFT,FROM BUILDING,WAREHOUSE,true,false,1
11/19/2016 10:30:00 PM,053XX N CALIFORNIA AVE,CRIMINAL DAMAGE,TO VEHICLE,RESIDENCE,false,false,20
01/12/2016 03:43:00 PM,069XX S WESTERN AVE,LIQUOR LAW VIOLATION,LIQUOR LICENSE VIOLATION,TAVERN/LIQUOR STORE,true,false,8
01/14/2016 05:00:00 PM,001XX E WACKER DR,THEFT,OVER $500,CLEANING STORE,false,false,1
03/04/2017 02:00:00 AM,065XX S ROCKWELL ST,CRIMINAL TRESPASS,TO RESIDENCE,APARTMENT,false,false,8
01/13/2017 02:10:00 PM,025XX W CATALPA AVE,ASSAULT,SIMPLE,STREET,false,false,20
10/16/2016 02:30:00 AM,003XX S STATE ST,BATTERY,SIMPLE,CTA PLATFORM,false,false,1
01/22/2017 08:00:00 AM,056XX W ADDISON ST,BATTERY,SIMPLE,HOSPITAL BUILDING/GROUNDS,false,false,16
02/02/2016 12:40:00 PM,076XX S HOMAN AVE,ASSAULT,PRO EMP HANDS NO/MIN INJURY,"SCHOOL, PUBLIC, BUILDING",true,false,8
07/21/2016 08:00:00 PM,018XX W HUBBARD ST,CRIMINAL DAMAGE,TO VEHICLE,STREET,false,false,12
09/08/2016 12:09:00 AM,047XX W VAN BUREN ST,BATTERY,DOMESTIC BATTERY SIMPLE,STREET,false,true,11
05/07/2016 03:15:00 PM,004XX N MICHIGAN AVE,THEFT,$500 AND UNDER,STREET,false,false,18
04/19/2016 10:35:00 PM,033XX W MAYPOLE AVE,WEAPONS VIOLATION,UNLAWFUL POSS OF HANDGUN,VEHICLE NON-COMMERCIAL,true,false,11
10/27/2016 11:04:00 AM,012XX S WABASH AVE,DECEPTIVE PRACTICE,CREDIT CARD FRAUD,GAS STATION,false,false,1
08/27/2016 08:30:00 PM,063XX S NORMAL BLVD,BURGLARY,FORCIBLE ENTRY,APARTMENT,false,false,7
01/27/2016 06:45:00 AM,025XX S SPRINGFIELD AVE,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,false,true,10
02/17/2017 01:49:00 PM,024XX W CHICAGO AVE,THEFT,RETAIL THEFT,DRUG STORE,false,false,12
10/13/2016 05:45:00 PM,078XX S WOLCOTT AVE,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,false,false,6
11/18/2016 10:00:00 AM,087XX S CREGIER AVE,BURGLARY,UNLAWFUL ENTRY,VACANT LOT/LAND,false,false,4
08/17/2016 11:00:00 PM,054XX N KIMBALL AVE,CRIMINAL DAMAGE,TO VEHICLE,PARKING LOT/GARAGE(NON.RESID.),false,false,17
07/11/2016 03:20:00 AM,077XX S SOUTH SHORE DR,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,false,true,4
11/25/2016 12:35:00 AM,025XX S SAWYER AVE,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,false,false,10
06/18/2016 05:30:00 AM,036XX W 56TH PL,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,false,true,8
02/15/2016 04:45:00 AM,029XX N LOTUS AVE,BURGLARY,FORCIBLE ENTRY,RESIDENCE-GARAGE,false,false,25
12/17/2016 06:30:00 AM,078XX S HAMILTON AVE,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,false,true,6
07/19/2016 12:00:00 AM,032XX W 62ND PL,CRIMINAL DAMAGE,TO VEHICLE,RESIDENCE,false,false,8
01/15/2017 04:00:00 PM,035XX W 16TH ST,BURGLARY,FORCIBLE ENTRY,CHURCH/SYNAGOGUE/PLACE OF WORSHIP,false,false,10
05/18/2016 01:48:00 AM,030XX S ARCHER AVE,CRIMINAL DAMAGE,TO PROPERTY,RESTAURANT,false,false,9
08/11/2016 04:30:00 AM,036XX W JACKSON BLVD,THEFT,$500 AND UNDER,STREET,false,false,11
01/10/2016 02:40:00 PM,068XX S THROOP ST,THEFT,OVER $500,STREET,false,false,7
02/14/2016 04:48:00 AM,001XX W DIVISION ST,DECEPTIVE PRACTICE,ILLEGAL USE CASH CARD,CURRENCY EXCHANGE,false,false,18
02/16/2017 01:20:00 PM,002XX W ADAMS ST,THEFT,FROM BUILDING,RESTAURANT,false,false,1
11/12/2016 06:15:00 PM,013XX S CANAL ST,THEFT,RETAIL THEFT,GROCERY FOOD STORE,false,false,1
08/28/2016 02:50:00 PM,048XX W DAKIN ST,CRIMINAL DAMAGE,TO VEHICLE,STREET,false,false,16
01/11/2016 03:00:00 PM,067XX N SAUGANASH AVE,ASSAULT,SIMPLE,RESIDENCE,false,true,16
11/20/2016 01:15:00 PM,036XX S UNION AVE,OTHER OFFENSE,HARASSMENT BY ELECTRONIC MEANS,APARTMENT,false,false,9
02/25/2016 11:00:00 AM,011XX S LAFLIN ST,ASSAULT,SIMPLE,CHA PARKING LOT/GROUNDS,false,false,12
03/03/2017 07:00:00 PM,058XX S ALBANY AVE,OFFENSE INVOLVING CHILDREN,SEX ASSLT OF CHILD BY FAM MBR,RESIDENCE,false,false,8
02/13/2017 10:45:00 AM,014XX N LEAMINGTON AVE,CRIMINAL DAMAGE,TO PROPERTY,"SCHOOL, PUBLIC, BUILDING",false,false,25
09/23/2016 11:28:00 AM,0000X W 87TH ST,THEFT,PURSE-SNATCHING,CTA BUS,false,false,6
03/20/2016 12:57:00 PM,096XX S PRINCETON AVE,OTHER OFFENSE,TELEPHONE THREAT,RESIDENCE,false,false,5
01/14/2017 09:25:00 AM,045XX S PRINCETON AVE,ASSAULT,AGGRAVATED: HANDGUN,CHURCH/SYNAGOGUE/PLACE OF WORSHIP,false,false,9
07/22/2016 05:00:00 PM,098XX S INGLESIDE AVE,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,false,false,5
03/23/2016 03:50:00 PM,031XX W POLK ST,BATTERY,DOMESTIC BATTERY SIMPLE,STREET,false,true,11
03/27/2016 02:00:00 PM,012XX W GREENLEAF AVE,THEFT,FROM BUILDING,APARTMENT,false,false,24
08/10/2016 04:20:00 PM,039XX S ELLIS AVE,THEFT,$500 AND UNDER,RESIDENCE,false,false,2
09/22/2016 03:00:00 PM,027XX N SPAULDING AVE,THEFT,FROM BUILDING,APARTMENT,false,false,14
01/24/2016 08:32:00 PM,092XX S PEORIA ST,BATTERY,DOMESTIC BATTERY SIMPLE,SIDEWALK,true,true,22
07/05/2016 05:30:00 PM,005XX W LOCUST ST,BATTERY,AGGRAVATED: OTHER DANG WEAPON,CHA PARKING LOT/GROUNDS,false,false,18
07/29/2016 11:00:00 PM,002XX N HALSTED ST,DECEPTIVE PRACTICE,CREDIT CARD FRAUD,PARKING LOT/GARAGE(NON.RESID.),false,false,12
10/01/2016 02:10:00 AM,031XX W 16TH ST,BATTERY,AGGRAVATED DOMESTIC BATTERY: KNIFE/CUTTING INST,APARTMENT,true,true,10
07/03/2016 04:15:00 AM,053XX W LAKE ST,ASSAULT,AGGRAVATED: HANDGUN,PARKING LOT/GARAGE(NON.RESID.),true,false,15
07/17/2016 11:25:00 AM,049XX W ST PAUL AVE,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,false,false,25
03/18/2016 07:10:00 AM,005XX S KEDZIE AVE,THEFT,$500 AND UNDER,CTA TRAIN,false,false,11
04/08/2016 12:49:00 PM,017XX W 87TH ST,BATTERY,SIMPLE,PARKING LOT/GARAGE(NON.RESID.),true,false,6
12/12/2016 12:00:00 PM,006XX N PAULINA ST,THEFT,OVER $500,CONSTRUCTION SITE,false,false,12
08/25/2016 06:10:00 PM,037XX S VINCENNES AVE,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,false,true,2
04/15/2016 04:21:00 PM,020XX W GARFIELD BLVD,THEFT,$500 AND UNDER,GAS STATION,false,false,9
02/26/2016 06:00:00 PM,056XX W MADISON ST,BATTERY,DOMESTIC BATTERY SIMPLE,STREET,false,false,15
05/16/2016 02:15:00 PM,002XX W MONROE ST,THEFT,RETAIL THEFT,SMALL RETAIL STORE,false,false,1
04/07/2016 12:01:00 AM,002XX N STATE ST,THEFT,FROM BUILDING,HOTEL/MOTEL,false,false,1
08/24/2016 05:13:00 AM,033XX W BARRY AVE,CRIMINAL DAMAGE,TO VEHICLE,STREET,false,false,14
12/19/2016 07:00:00 AM,017XX E 67TH ST,BURGLARY,UNLAWFUL ENTRY,APARTMENT,false,false,3
08/02/2016 10:00:00 AM,050XX W ADAMS ST,ROBBERY,STRONGARM - NO WEAPON,STREET,false,false,15
01/20/2017 10:25:00 AM,007XX N PULASKI RD,ASSAULT,SIMPLE,"SCHOOL, PUBLIC, BUILDING",false,false,11
11/09/2016 07:00:00 PM,0000X E 95TH ST,THEFT,$500 AND UNDER,STREET,false,false,5
05/20/2016 05:00:00 PM,020XX W le moyne st,THEFT,OVER $500,STREET,false,false,14
01/21/2017 04:17:00 PM,064XX N CLARK ST,THEFT,RETAIL THEFT,POLICE FACILITY/VEH PARKING LOT,true,false,24
01/24/2016 11:00:00 AM,032XX S PULASKI RD,BATTERY,SIMPLE,OTHER,true,false,10
04/26/2016 05:55:00 AM,079XX S ESSEX AVE,BATTERY,AGGRAVATED DOMESTIC BATTERY: OTHER DANG WEAPON,APARTMENT,false,true,4
01/19/2017 06:00:00 PM,044XX N WOLCOTT AVE,THEFT,OVER $500,VEHICLE NON-COMMERCIAL,false,false,19
08/27/2016 03:43:00 AM,073XX S YALE AVE,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,false,false,7
07/18/2016 08:00:00 PM,065XX S WASHTENAW AVE,NARCOTICS,POSS: SYNTHETIC DRUGS,STREET,true,false,8
07/19/2016 02:15:00 PM,013XX W LUNT AVE,THEFT,FROM BUILDING,OTHER,false,false,24
11/01/2016 09:40:00 AM,063XX S MAPLEWOOD AVE,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,false,true,8
02/04/2016 06:30:00 AM,057XX W CORNELIA AVE,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,false,false,16
07/27/2016 11:20:00 PM,007XX N RIDGEWAY AVE,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,SIDEWALK,true,false,11
03/09/2016 11:00:00 AM,073XX W PRATT AVE,PUBLIC PEACE VIOLATION,OTHER VIOLATION,"SCHOOL, PUBLIC, BUILDING",false,false,16
07/11/2016 06:00:00 PM,025XX W FLOURNOY ST,BURGLARY,FORCIBLE ENTRY,APARTMENT,false,false,11
02/13/2017 07:00:00 AM,080XX S PERRY AVE,ASSAULT,SIMPLE,APARTMENT,false,true,6
02/12/2017 07:00:00 PM,004XX W 104TH ST,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,false,true,22
01/05/2017 05:45:00 PM,028XX W OGDEN AVE,CRIMINAL DAMAGE,TO VEHICLE,STREET,false,false,10
03/04/2017 02:00:00 PM,031XX N CLARK ST,THEFT,$500 AND UNDER,PARKING LOT/GARAGE(NON.RESID.),false,false,19
01/29/2016 05:55:00 PM,0000X E 111TH PL,ASSAULT,AGGRAVATED: OTHER DANG WEAPON,SIDEWALK,false,false,5
01/09/2016 12:28:00 AM,003XX W 88TH ST,OTHER OFFENSE,OTHER VEHICLE OFFENSE,STREET,true,false,6
07/08/2016 02:30:00 AM,018XX W EVERGREEN AVE,THEFT,$500 AND UNDER,STREET,false,false,14
06/26/2016 01:00:00 AM,011XX N KARLOV AVE,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,false,false,11
01/11/2017 09:00:00 AM,006XX E 130TH ST,ASSAULT,SIMPLE,RESIDENCE,false,false,5
03/11/2016 07:20:00 PM,095XX S WOODLAWN AVE,THEFT,$500 AND UNDER,RESIDENTIAL YARD (FRONT/BACK),false,false,5
03/31/2016 11:10:00 AM,050XX W MADISON ST,BATTERY,SIMPLE,SIDEWALK,false,false,15
08/25/2016 12:07:00 PM,050XX W CHICAGO AVE,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,false,false,15
04/13/2016 04:19:00 PM,021XX W JACKSON BLVD,NARCOTICS,POSS: HEROIN(WHITE),ALLEY,true,false,12
08/11/2016 04:00:00 PM,073XX S HALSTED ST,BATTERY,AGGRAVATED: OTHER DANG WEAPON,SIDEWALK,false,false,7
12/29/2016 07:30:00 AM,019XX N CLYBOURN AVE,THEFT,$500 AND UNDER,STREET,false,false,18
08/08/2016 09:00:00 AM,0000X W JACKSON BLVD,THEFT,$500 AND UNDER,CTA TRAIN,false,false,1
09/08/2016 12:01:00 AM,015XX N SANDBURG TER,CRIMINAL DAMAGE,TO VEHICLE,PARKING LOT/GARAGE(NON.RESID.),false,false,18
02/05/2017 05:30:00 AM,051XX W DIVERSEY AVE,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,true,true,25
01/05/2017 02:00:00 PM,016XX E 50TH PL,OTHER OFFENSE,HARASSMENT BY ELECTRONIC MEANS,APARTMENT,false,false,2
10/30/2016 07:45:00 AM,113XX S MAY ST,CRIMINAL TRESPASS,TO RESIDENCE,RESIDENTIAL YARD (FRONT/BACK),true,true,22
08/30/2016 02:30:00 PM,019XX N CLARK ST,THEFT,$500 AND UNDER,STREET,false,false,18
07/06/2016 01:50:00 PM,026XX N ELSTON AVE,THEFT,RETAIL THEFT,DEPARTMENT STORE,true,false,14
12/12/2016 10:15:00 PM,048XX S HOYNE AVE,BURGLARY,UNLAWFUL ENTRY,VEHICLE NON-COMMERCIAL,true,false,9
07/28/2016 12:55:00 AM,031XX W LOGAN BLVD,BATTERY,SIMPLE,BAR OR TAVERN,false,false,14
06/10/2016 11:35:00 PM,113XX S NORMAL AVE,BATTERY,AGGRAVATED: HANDGUN,SIDEWALK,false,false,22
10/29/2016 02:07:00 AM,019XX W MARQUETTE RD,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,false,true,7
11/07/2016 10:30:00 AM,048XX W ALTGELD ST,THEFT,$500 AND UNDER,RESIDENTIAL YARD (FRONT/BACK),false,false,25
10/25/2016 03:35:00 AM,087XX S STONY ISLAND AVE,THEFT,RETAIL THEFT,GROCERY FOOD STORE,false,false,4
05/17/2016 11:00:00 AM,058XX N ELSTON AVE,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,false,true,16
06/09/2016 08:05:00 PM,0000X W WASHINGTON ST,THEFT,$500 AND UNDER,SIDEWALK,false,false,1
05/25/2016 08:34:00 PM,038XX W MADISON ST,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,SIDEWALK,true,false,11
09/23/2016 10:00:00 PM,018XX N RIDGEWAY AVE,THEFT,$500 AND UNDER,STREET,false,false,25
09/07/2016 06:20:00 PM,016XX N DAMEN AVE,THEFT,RETAIL THEFT,OTHER,false,false,14
02/02/2016 09:30:00 PM,024XX W ARTHINGTON ST,MOTOR VEHICLE THEFT,AUTOMOBILE,RESIDENTIAL YARD (FRONT/BACK),false,false,11
06/01/2016 09:00:00 AM,051XX W ST PAUL AVE,DECEPTIVE PRACTICE,BOGUS CHECK,RESIDENCE,false,false,25
05/21/2016 02:00:00 PM,008XX N CICERO AVE,THEFT,$500 AND UNDER,PARKING LOT/GARAGE(NON.RESID.),false,false,11
12/03/2016 11:15:00 AM,007XX S INDEPENDENCE BLVD,THEFT,OVER $500,STREET,false,false,11
09/23/2016 08:47:00 AM,079XX S SACRAMENTO AVE,OTHER OFFENSE,HARASSMENT BY TELEPHONE,RESIDENCE,false,true,8
04/08/2016 07:49:00 PM,062XX S JUSTINE ST,BURGLARY,ATTEMPT FORCIBLE ENTRY,RESIDENCE,false,false,7
02/25/2016 08:00:00 AM,002XX S LOTUS AVE,BURGLARY,FORCIBLE ENTRY,APARTMENT,false,false,15
04/25/2016 10:00:00 AM,008XX N ST LOUIS AVE,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,APARTMENT,false,false,11
04/13/2016 02:25:00 AM,026XX N MILWAUKEE AVE,ASSAULT,SIMPLE,CTA STATION,false,false,14
05/21/2016 01:00:00 PM,0000X S STATE ST,DECEPTIVE PRACTICE,CREDIT CARD FRAUD,DEPARTMENT STORE,false,false,1
01/01/2017 02:39:00 AM,061XX S CALIFORNIA AVE,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,true,false,8
02/23/2016 02:45:00 PM,078XX S ASHLAND AVE,THEFT,RETAIL THEFT,SMALL RETAIL STORE,true,false,6
04/08/2016 09:00:00 AM,028XX N MULLIGAN AVE,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT $300 AND UNDER,APARTMENT,false,false,25
10/22/2016 02:00:00 PM,069XX S MAPLEWOOD AVE,ROBBERY,ARMED: HANDGUN,STREET,false,false,8
06/07/2016 09:03:00 PM,002XX N SACRAMENTO BLVD,NARCOTICS,POSS: HEROIN(WHITE),VACANT LOT/LAND,true,false,12
09/23/2016 10:00:00 PM,046XX N CLIFTON AVE,THEFT,$500 AND UNDER,OTHER,false,false,19
01/13/2017 05:00:00 AM,006XX N MICHIGAN AVE,OTHER OFFENSE,HARASSMENT BY TELEPHONE,COMMERCIAL / BUSINESS OFFICE,false,true,18
02/17/2016 01:00:00 PM,036XX S WENTWORTH AVE,DECEPTIVE PRACTICE,COUNTERFEITING DOCUMENT,STREET,false,false,9
05/12/2016 07:30:00 PM,036XX N CENTRAL AVE,BATTERY,DOMESTIC BATTERY SIMPLE,PARKING LOT/GARAGE(NON.RESID.),false,false,16
11/04/2016 01:00:00 PM,080XX S DANTE AVE,BURGLARY,FORCIBLE ENTRY,RESIDENCE,false,false,4
04/12/2016 06:25:00 PM,011XX N CLARK ST,THEFT,POCKET-PICKING,CTA TRAIN,false,false,18
01/14/2016 06:21:00 PM,001XX S LARAMIE AVE,NARCOTICS,SOLICIT NARCOTICS ON PUBLICWAY,PARKING LOT/GARAGE(NON.RESID.),true,false,15
11/15/2016 12:15:00 AM,033XX N AVERS AVE,ROBBERY,ARMED: HANDGUN,SIDEWALK,false,false,17
12/15/2016 09:00:00 AM,013XX W LUNT AVE,THEFT,$500 AND UNDER,APARTMENT,false,false,24
09/27/2016 08:00:00 PM,132XX S AVENUE M,THEFT,$500 AND UNDER,ALLEY,false,false,4
06/28/2016 01:00:00 AM,045XX W THOMAS ST,ASSAULT,SIMPLE,APARTMENT,false,true,11
09/10/2016 12:50:00 PM,045XX W 57TH ST,CRIMINAL DAMAGE,TO VEHICLE,VEHICLE NON-COMMERCIAL,false,false,8
09/30/2016 05:18:00 PM,039XX W FLOURNOY ST,NARCOTICS,POSS: HEROIN(WHITE),STREET,true,false,11
03/24/2016 12:14:00 AM,097XX S AVENUE L,ASSAULT,SIMPLE,RESIDENCE,true,true,4
08/13/2016 08:25:00 PM,007XX E 43RD ST,DECEPTIVE PRACTICE,THEFT OF LABOR/SERVICES,OTHER,true,false,2
02/17/2017 06:00:00 PM,021XX W NORTH AVE,THEFT,OVER $500,STREET,false,false,14
08/08/2016 03:00:00 PM,011XX N WASHTENAW AVE,CRIMINAL DAMAGE,TO VEHICLE,VEHICLE NON-COMMERCIAL,false,false,12
08/16/2016 07:00:00 PM,043XX W 28TH ST,CRIMINAL DAMAGE,TO VEHICLE,VEHICLE NON-COMMERCIAL,false,false,10
12/13/2016 12:45:00 AM,020XX W CULLERTON ST,ROBBERY,ARMED: HANDGUN,STREET,false,false,12
10/29/2016 04:00:00 AM,030XX S DRAKE AVE,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,false,true,10
07/05/2016 10:00:00 AM,022XX W ARMITAGE AVE,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,false,false,14
01/30/2017 04:00:00 PM,0000X N HALSTED ST,THEFT,RETAIL THEFT,GROCERY FOOD STORE,true,false,12
06/18/2016 05:00:00 AM,006XX W BELMONT AVE,BATTERY,AGGRAVATED: HANDGUN,STREET,false,false,19
02/17/2016 07:45:00 PM,022XX W WARREN BLVD,OTHER OFFENSE,HARASSMENT BY ELECTRONIC MEANS,APARTMENT,false,false,12
09/24/2016 07:30:00 PM,031XX W FLOURNOY ST,ROBBERY,STRONGARM - NO WEAPON,STREET,false,false,11
10/24/2016 08:23:00 PM,016XX E 71ST ST,WEAPONS VIOLATION,UNLAWFUL POSS OF HANDGUN,SIDEWALK,false,false,3
03/29/2016 10:16:00 AM,014XX W 62ND ST,ASSAULT,AGGRAVATED: OTHER DANG WEAPON,STREET,false,false,7
08/15/2016 07:36:00 PM,008XX W RANDOLPH ST,BATTERY,SIMPLE,BAR OR TAVERN,false,false,12
05/07/2016 02:00:00 PM,0000X N MICHIGAN AVE,DECEPTIVE PRACTICE,CREDIT CARD FRAUD,SMALL RETAIL STORE,false,false,1
01/30/2016 12:17:00 PM,031XX W IRVING PARK RD,NARCOTICS,MANU/DELIVER:CRACK,PARKING LOT/GARAGE(NON.RESID.),true,false,17
04/24/2016 10:44:00 PM,108XX S HOXIE AVE,WEAPONS VIOLATION,UNLAWFUL POSS OF HANDGUN,RESIDENTIAL YARD (FRONT/BACK),true,false,4
10/09/2016 08:30:00 PM,003XX S DEARBORN ST,DECEPTIVE PRACTICE,CREDIT CARD FRAUD,OTHER,false,false,1
02/26/2016 11:20:00 AM,058XX S SHIELDS AVE,BATTERY,DOMESTIC BATTERY SIMPLE,STREET,false,false,7
07/31/2016 09:30:00 AM,012XX N HARDING AVE,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE-GARAGE,false,false,25
10/22/2016 10:30:00 AM,018XX W LAWRENCE AVE,THEFT,FROM BUILDING,ATHLETIC CLUB,false,false,20
05/15/2016 01:00:00 PM,060XX S WOLCOTT AVE,ASSAULT,SIMPLE,RESIDENCE,false,true,7
05/11/2016 11:00:00 PM,006XX N MAY ST,THEFT,$500 AND UNDER,STREET,false,false,12
02/09/2017 09:00:00 PM,010XX E MARQUETTE RD,BURGLARY,UNLAWFUL ENTRY,APARTMENT,false,false,3
02/15/2017 01:00:00 AM,025XX S SPRINGFIELD AVE,OTHER OFFENSE,VIOLATE ORDER OF PROTECTION,APARTMENT,false,true,10
08/24/2016 12:14:00 AM,107XX S WABASH AVE,BATTERY,DOMESTIC BATTERY SIMPLE,STREET,false,true,5
11/26/2016 12:35:00 AM,085XX S ESCANABA AVE,PUBLIC PEACE VIOLATION,RECKLESS CONDUCT,STREET,true,false,4
06/16/2016 01:30:00 PM,002XX S MICHIGAN AVE,THEFT,FROM BUILDING,RESTAURANT,false,false,1
02/04/2016 12:50:00 PM,085XX S DREXEL AVE,BATTERY,SIMPLE,STREET,false,false,6
08/16/2016 07:00:00 AM,015XX E 53RD ST,THEFT,$500 AND UNDER,STREET,false,false,2
01/22/2017 01:00:00 PM,005XX W 111TH ST,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,false,true,22
