Summons Number,Plate ID,Registration State,Plate Type,Issue Date,Violation Code,Vehicle Body Type,Vehicle Make,Issuing Agency,Street Code1,Street Code2,Street Code3,Vehicle Expiration Date,Violation Location,Violation Precinct,Issuer Precinct,Issuer Code,Issuer Command,Issuer Squad,Violation Time,Time First Observed,Violation County,Violation In Front Of Or Opposite,House Number,Street Name,Intersecting Street,Date First Observed,Law Section,Sub Division,Violation Legal Code,Days Parking In Effect    ,From Hours In Effect,To Hours In Effect,Vehicle Color,Unregistered Vehicle?,Vehicle Year,Meter Number,Feet From Curb,Violation Post Code,Violation Description,No Standing or Stopping Violation,Hydrant Violation,Double Parking Violation
7249114220,GPP7413,NY,PAS,10/8/2016,19,SUBN,HONDA,T,9430,42630,6180,20180623,72,72,72,361784,T302,J,0248P,,K,O,1006,57th St,,0,408,c3,,YYYYYYY,,,GY,,2010,,0,S 32,19-No Stand (bus stop),,,
1416140300,GYJ7561,NY,PAS,11/2/2016,21,SDN,TOYOT,S,9620,15620,20520,20170525,49,49,0,535013,BX11,0,1140A,,BX,F,926,ASTOR AVE,,0,408,D1,,BBYBBBB,1130A,0100P,GRAY,0,2014,-,0,,,,,
4624353316,XW317E,NJ,PAS,09/28/2016,36,VAN,FORD,V,0,0,0,0,,0,0,0,,,0115P,,QN,,,EB HORACE HARDING EX,PRESSWAY @ PECK AVE,0,1180,B,T,,,,WT,,2011,,0,,PHTO SCHOOL ZN SPEED VIOLATION,,,
8330514596,HDK4072,NY,PAS,08/23/2016,21,SUBN,FORD,T,21640,51090,18040,20170730,102,102,102,362584,T402,M,0104P,,Q,F,87-15,125th St,,0,408,d1,,Y,1200A,0130A,BL,,2006,,0,J 42,21-No Parking (street clean),,,
7640787490,GTS6000,NY,PAS,10/20/2016,38,SUBN,HONDA,T,15940,0,0,20161015,112,112,112,363124,Quee,H,0257P,,Q,I,E,76th Rd,30ft S/of Queens Blv,0,408,h1,,Y,0830A,0700P,BL,,2007,,0,09 4,38-Failure to Display Muni Rec,,,
1418609274,8P82H,NY,OMT,12/21/2016,14,TAXI,NISSA,P,0,0,0,20170228,18,18,405,926685,405,0,1015A,,NY,O,,W/S 6 AVE,S/O 53 STREET,0,408,C,,BBBBBBB,ALL,ALL,YELLO,0,2014,-,0,,,,,
7755149869,GPK7120,NY,PAS,10/13/2016,37,4DSD,INFIN,T,29750,40404,40404,20180509,111,111,111,356248,T803,BB,0955P,0947P,Q,I,,Bayside Lot,,0,408,h1,,Y,0700A,1000P,BK,,2011,492-3004,0,G 42,37-Expired Muni Meter,,,
8237524573,CMD1897,NY,PAS,10/19/2016,21,4DSD,FORD,T,54690,0,0,20170829,107,107,107,361821,T402,C,1115A,,Q,I,E,Manton St,70ft S/of 83rd Ave,0,408,d1,,Y,1030A,1200A,GY,,2016,,0,11 4,21-No Parking (street clean),,,
5092750364,DPH8955,NY,PAS,07/27/2016,7,SUBN,HONDA,V,0,0,0,0,,0,0,0,,,0732P,,BK,,,ATLANTIC AVE (E/B) @,LOGAN ST,0,1111,D,T,,,,BL,,2009,,0,,FAILURE TO STOP AT RED LIGHT,,,
1418138575,GML6346,NY,PAS,12/19/2016,21,SDN,HONDA,S,10430,6680,64730,20160126,62,62,0,981230,KN11,0,1212P,,K,F,1623,77 ST,,0,408,D1,,YBBBBBB,1130A,0100A,GREY,0,2013,-,0,,,,,
8177030073,FPN6798,NY,PAS,07/22/2016,21,SUBN,HONDA,T,6280,25730,8380,20170915,66,66,66,356958,T302,A,0943A,,K,F,3533,12th Ave,,0,408,d1,,Y,0930A,1100A,GY,,2011,,0,01 3,21-No Parking (street clean),,,
8261064578,GSM5317,NY,PAS,11/14/2016,37,4DSD,KIA,T,18040,23290,23490,20180719,103,103,103,363566,T402,H,0411P,0346P,Q,O,152-11,89th Ave,,0,408,h1,,Y,0900A,0700P,BR,,2015,408-1899,0,14 4,37-Expired Muni Meter,,,
7128799357,ZPBEAR,NY,SRF,09/29/2016,37,CONV,BMW,T,53790,21340,21390,20170802,106,106,106,362249,T402,G,0323P,0312P,Q,F,120-08,Liberty Ave,,0,408,h1,,Y,0900A,0700P,BL,,2016,429-3058,0,40 4,37-Expired Muni Meter,,,
8308520170,49033ME,NY,COM,07/14/2016,16,VAN,FORD,T,18550,10110,10010,20170228,19,19,19,362620,T103,D,0958A,0825A,NY,F,355,E 78th St,,0,408,k2,,YYYYY,0700A,0600P,WHITE,,2011,,0,02 7,16-No Std (Com Veh) Com Plate,,,
8023492410,DYB1485,NY,PAS,10/4/2016,20,4DSD,NISSA,T,54010,92430,42030,20180101,94,94,94,346199,T301,L,1005A,,K,F,76,Kent St,,0,408,d,,YYYYY,0800A,0600P,BK,,2008,,0,A 31,20A-No Parking (Non-COM),,,
8081576769,19662JA,NY,COM,12/19/2016,37,VAN,GMC,T,18410,25390,27790,20170331,19,19,19,356314,T103,H,1031A,0912A,NY,O,30,E 71st St,,20161219,408,h1,,Y,0900A,0700P,BL,,2001,118-3017,0,60 7,37-Expired Muni Meter,,,
4622257713,GUG8491,NY,PAS,07/14/2016,36,SUBN,CHEVR,V,0,0,0,0,,0,0,0,,,0901A,,QN,,,EB BEACH CHANNEL DR,@ BEACH 104TH ST,0,1180,B,T,,,,TN,,2015,,0,,PHTO SCHOOL ZN SPEED VIOLATION,,,
8400523477,HKT1200,NY,PAS,11/28/2016,71,4DSD,NISSA,T,14380,35680,67530,20180906,61,61,61,359630,T302,I,1203P,,K,F,1917,Avenue P,,0,408,j6,,,,,GY,,2003,,0,03 3,71-Insp. Sticker Missing (NYS,,,
7487986524,AVS4503,NY,PAS,09/16/2016,20,PICK,HONDA,T,13140,0,0,20170627,112,112,112,362522,T402,E,0151P,,Q,I,N,63rd Rd,15ft E/of 98th Pl,0,408,d,,YYYYYYY,,,GY,,2017,,0,01 4,20A-No Parking (Non-COM),,,
1400876217,GVB9839,NY,PAS,09/19/2016,21,P-U,CHEVR,S,33290,60790,60820,20161116,100,100,0,539527,QE14,0,1228P,,Q,F,219,BEACH 96TH STREET,,0,408,D1,,YBBBBBB,1130A,0100P,TAN,0,0,-,0,,,,,
8150083686,67754MC,NY,COM,11/16/2016,40,DELV,UPS,T,24330,46330,57030,88888888,94,94,94,362225,T301,N,1248P,,K,F,155,Calyer St,,0,408,e2,,YYYYYYY,,,BROWN,,2013,,1,11 3,40-Fire Hydrant,,,
7238369850,GKB2710,NY,PAS,07/25/2016,37,SUBN,TOYOT,T,6380,8630,8680,20170826,66,66,66,362171,T302,O,1129A,1123A,K,F,4107,13th Ave,,0,408,h1,,YYYY,0830A,0700P,BK,,2015,311-3004,0,01 3,37-Expired Muni Meter,,,
8126033526,67815MC,NY,COM,10/24/2016,47,VAN,FORD,T,17990,10210,10110,20181130,17,17,17,361040,Manh,N,0303P,,NY,F,223,E 50th St,,0,408,l2,,Y,0700A,0700P,YELLO,,2005,,0,99 6,47-Double PKG-Midtown,,,
8145014311,HJV3061,NY,PAS,12/13/2016,71,SUBN,CHRYS,T,36220,13820,28500,20180905,47,47,47,358648,T202,N,1133A,,BX,F,3538,Grace Ave,,0,408,j6,,YYYYYYY,,,TN,,0,,0,G 22,71A-Insp Sticker Expired (NYS),,,
8377006390,GCR2084,NY,PAS,07/19/2016,48,4DSD,HONDA,T,59520,42720,26760,20170101,42,42,42,355664,T201,D,0845A,,BX,F,1418,Prospect Ave,,0,408,e9,,,,,GR,,2005,,0,26 2,48-Bike Lane,,,
1417599716,12203MG,NY,COM,12/1/2016,46,VAN,FRUEH,P,25690,35770,35790,0,24,24,24,950441,24,0,1137A,,NY,F,10,MANHATTAN AVE,,0,408,D1,,BBBBBBB,ALL,ALL,BROWN,0,2015,-,0,,,,,
7813974049,GLS7002,NY,PAS,9/9/2016,40,SUBN,FORD,T,29690,0,0,20171226,30,30,30,351239,T103,B,0859A,,NY,I,W,Riverside Dr,15ft S/of W 141st St,0,408,e2,,YYYYYYY,,,WH,,2002,,0,CCC,40-Fire Hydrant,,,
8149510126,GTP8988,NY,PAS,8/10/2016,16,2DSD,SMART,T,41330,92630,85230,20160930,90,90,90,361316,T301,E,0146P,,K,F,676,Flushing Ave,,0,408,k2,,YYYYY,0600A,0400P,GY,,2015,,0,17 3,16A-No Std (Com Veh) Non-COM,,,
7803577878,DRU6182,NY,PAS,07/19/2016,21,SUBN,HONDA,T,35180,41730,13980,20161014,70,70,70,355147,T302,Q,1203P,,K,O,714,E 9th St,,0,408,d1,,Y,1130A,0100P,GY,,2005,,0,R 32,21-No Parking (street clean),,,
4624293630,FZH6298,NY,PAS,09/28/2016,36,SUBN,CHEVR,V,0,0,0,0,,0,0,0,,,0225P,,BK,,,NB OCEAN PKWY @ SHOR,E PKWY,0,1180,B,T,,,,BK,,2009,,0,,PHTO SCHOOL ZN SPEED VIOLATION,,,
8292013593,601473,NY,PAS,11/9/2016,21,4DSD,HONDA,T,19540,8590,8790,20180815,115,115,115,361793,T401,K,0852A,,Q,F,35-14,102nd St,,0,408,d1,,Y,0830A,1000A,GY,,0,,0,15-P,21-No Parking (street clean),,,
4006687989,MIQ600,SC,PAS,11/21/2016,5,VN,HONDA,V,0,0,0,0,,0,0,0,,,0714A,,BK,,,NB BEDFORD AVE @ ATL,ANTIC AVE,0,1111,C,T,,,,,,2006,,0,,BUS LANE VIOLATION,,,
4626838832,EVV1706,NY,PAS,11/16/2016,36,2DSD,ME/BE,V,0,0,0,0,,0,0,0,,,0941A,,BK,,,EB ATLANTIC AVE @ ES,SEX ST,0,1180,B,T,,,,GY,,2010,,0,,PHTO SCHOOL ZN SPEED VIOLATION,,,
8107526170,57300MC,NY,COM,9/8/2016,42,VAN,FORD,T,34830,10410,10510,20170331,18,18,18,351207,T106,M,1131A,,NY,F,18,W 53rd St,,0,408,h1,,YYYYY,0700A,0600P,WH,,2013,143-3069,0,71 6,42-Exp. Muni-Mtr (Com. Mtr. Z),,,
5092708219,F47DZF,NJ,PAS,07/24/2016,7,4 DR,JEEP,V,0,0,0,0,,0,0,0,,,0852P,,BK,,,ATLANTIC AVE (W/B) @,NOSTRAND AVE,0,1111,D,T,,,,BK,,2011,,0,,FAILURE TO STOP AT RED LIGHT,,,
8103547682,409507,IN,PAS,07/21/2016,47,DELV,INTER,T,10510,34370,34390,88880088,13,13,13,356304,T102,I,0306P,,NY,F,862,6th Ave,,0,408,l2,,Y,0700A,0700P,GREEN,,0,,0,99 6,47-Double PKG-Midtown,,,
4624196740,W688AV,NY,PAS,09/26/2016,36,SUBN,TOYOT,V,0,0,0,0,,0,0,0,,,0107P,,QN,,,EB HORACE HARDING EX,PRESSWAY @ PECK AVE,0,1180,B,T,,,,GY,,2016,,0,,PHTO SCHOOL ZN SPEED VIOLATION,,,
8184542148,GVL6825,NY,PAS,07/27/2016,38,SUBN,ME/BE,T,43530,10880,10980,20170106,68,68,68,359288,T302,E,0348P,,K,F,18,Gelston Ave,,0,408,h1,,Y,0900A,0700P,WH,,2015,,0,21 3,38-Failure to Display Muni Rec,,,
7705894520,GYP6735,NY,OMS,10/2/2016,70,SUBN,FORD,T,28830,14130,14180,20160930,70,70,70,363975,T302,H,0315P,,K,O,1496,Coney Island Ave,,0,408,j3,,YYYYYYY,,,WH,,2013,,0,12 3,70A-Reg. Sticker Expired (NYS),,,
7878306229,HFX5240,NY,OMS,08/26/2016,38,SUBN,NISSA,T,24890,27800,24890,20160930,13,13,13,363931,T102,M,0157P,,NY,F,50,Lexington Ave,,0,408,h1,,Y,0800A,0700P,OTHER,,2016,,0,23 6,38-Failure to Display Muni Rec,,,
4627653700,HEG7444,NY,PAS,12/1/2016,36,4DSD,BMW,V,0,0,0,0,,0,0,0,,,1027A,,BK,,,SB NOSTRAND AVE @ AV,E Z,0,1180,B,T,,,,BK,,2016,,0,,PHTO SCHOOL ZN SPEED VIOLATION,,,
1414702700,AT785J,NJ,PAS,11/27/2016,85,TRAC,FRUEH,S,5010,8930,8980,0,72,72,0,534939,0PIU,0,1239P,0745A,K,O,4717,1ST AVENUE,,0,408,J2,,BBBBBBB,ALL,ALL,OR,0,0,-,0,,,,,
7809507916,34719MG,NY,COM,12/8/2016,50,DELV,INTER,T,0,0,0,20171130,9,9,9,358579,T105,M,0742A,,NY,I,S,E 4th St,0ft E/of Avenue A,0,408,e5,,,,,BL,,2015,,0,J 99,50-Crosswalk,,,
7751566700,HJV8807,NY,PAS,12/27/2016,46,4DSD,TOYOT,T,45820,73420,35720,20181116,43,43,43,359297,T202,R,0103P,,BX,F,1157,Leland Ave,,0,408,f1,,,,,GY,,1996,,0,P 23,46A-Double Parking (Non-COM),,,
5093891046,FJS4033,NY,PAS,10/14/2016,7,4DSD,LEXUS,V,0,0,0,0,,0,0,0,,,0232P,,QN,,,BORDEN AVE (E/B) @ G,REENPOINT AVE,0,1111,D,T,,,,GY,,2011,,0,,FAILURE TO STOP AT RED LIGHT,,,
1408575656,6XWZ969,CA,PAS,7/6/2016,14,SDN,FORD,P,0,0,0,0,90,90,110,350318,T110,0,0940A,,K,,,E/S BOGART ST,S/O SEIGEL ST,0,408,D,,BBBBBBB,ALL,ALL,BK,0,0,-,0,,,,,
8083571465,KCG9559,PA,PAS,12/22/2016,14,SUBN,CHEVR,T,19250,10110,10010,20170388,23,23,23,347593,T103,B,0923A,,NY,O,333,E 115th St,,0,408,c,,Y,0900A,1200A,BLACK,,0,,0,E 77,14-No Standing,,,
8397514636,FYW3850,NY,PAS,10/22/2016,74,SUBN,FORD,T,5430,11530,11530,20180416,68,68,68,358849,Broo,M,0516P,,K,R,10031,4th Ave,,0,408,j2,,,,,TN,,2002,,0,E 32,74A-Improperly Displayed Plate,,,
8357010039,ZBK5659,PA,PAS,09/16/2016,78,FLAT,NS/OT,T,23040,20890,45290,88880088,113,113,113,361320,T803,BB,1021P,,Q,F,116-12,146th St,,0,408,k6,,YYYYYYY,0900P,0500A,RED,,0,,0,F 42,78-Nighttime PKG on Res Street,,,
8340512559,CZB9676,NY,PAS,08/23/2016,14,2DSD,HYUND,T,10210,18250,18270,20161011,19,19,19,356267,T103,GG,0518P,,NY,F,1077,3rd Ave,,0,408,c,,YYYYY,0400P,0700P,BK,,2004,,0,01 7,14-No Standing,,,
8250539527,24745ME,NY,COM,11/9/2016,16,VAN,FORD,T,45290,15350,20880,20180630,1,1,1,363577,T105,J,0939A,0907A,NY,F,36,White St,,0,408,k2,,YYYYY,0900A,0600P,WHITE,,2014,,0,14,16-No Std (Com Veh) Com Plate,,,
1413553552,41126BB,NY,OMT,07/28/2016,19,VAN,FORD,P,86630,38430,86530,0,71,71,71,925311,71,0,0110P,,K,F,280,UTICA AVE,,0,408,C3,,BBBBBBB,ALL,ALL,WH,0,0,-,0,,,,,
7051225662,N61GZN,NJ,PAS,11/25/2016,16,SUBN,SATUR,T,23020,25800,25830,88888888,40,40,40,341191,T720,B,0802A,,BX,F,250,Cypress Ave,,0,408,k2,,Y,0700A,0700P,BLACK,,0,,0,D 62,16A-No Std (Com Veh) Non-COM,,,
8071059808,2W13A,NY,OMT,10/24/2016,38,4DSD,TOYOT,T,18710,10110,10010,20170228,19,19,19,361896,Manh,J,0705P,,NY,F,355,E 86th St,,0,408,h1,,Y,0800A,1000P,YW,,2015,,0,01 7,38-Failure to Display Muni Rec,,,
8019072664,12211MG,NY,COM,11/11/2016,46,VAN,FRUEH,T,42820,27450,29020,88888888,52,52,52,363558,T201,J,0131P,,BX,F,2622,Jerome Ave,,0,408,F1,,,,,BROWN,,2015,,0,43 2,46B-Double Parking (Com-100Ft),,,
8470521172,28672MH,NY,COM,11/21/2016,46,VAN,FRUEH,T,18410,0,0,88888888,19,19,19,361112,T103,BB,1106A,,NY,I,N,E 71st St,50ft W/of York Ave,0,408,F1,,,,,BROWN,,2016,,0,C 77,46B-Double Parking (Com-100Ft),,,
8478953528,JNB5044,PA,PAS,12/17/2016,38,SUBN,HYUND,T,18110,24890,10210,19880088,17,17,17,363041,T102,J,0345P,,NY,O,164,E 56th St,,0,408,h1,,Y,0800A,1200A,BLACK,,0,,0,05 6,38-Failure to Display Muni Rec,,,
1406832248,FJA2553,NY,PAS,10/7/2016,46,SDN,VOLVO,P,28830,14680,45730,20170217,61,61,61,957453,61,0,0045A,,K,F,2508,CONEY ISLAND AVE,,0,408,F1,,BBBBBBB,ALL,ALL,GY,0,2008,-,0,,,,,
8480450563,21834ME,NY,COM,11/21/2016,42,VAN,FORD,T,34070,10510,10610,0,13,13,13,363504,T102,L,0310P,1200P,NY,O,140,W 15th St,,0,408,h1,,YYYYY,0800A,0600P,WH,,2014,145-3199,0,99 6,42-Exp. Muni-Mtr (Com. Mtr. Z),,,
8254538943,390HRH,OR,PAS,9/2/2016,50,SUBN,FORD,T,0,0,0,88880688,72,72,72,361784,T302,J,0253P,,K,I,W,1st Ave,0ft S/of 39th St,0,408,e5,,,,,WHITE,,0,,0,K 32,50-Crosswalk,,,
8371503647,14224MJ,NY,COM,7/7/2016,47,DELV,ME/BE,T,34090,10610,10810,88888888,10,10,10,361825,T102,C,0915A,,NY,F,200,W 16th St,,0,408,l2,,Y,0700A,0700P,WHITE,,2016,,0,99 6,47-Double PKG-Midtown,,,
8168032202,GZN5776,NY,PAS,8/3/2016,71,4DSD,LEXUS,T,35130,14630,14680,20170624,61,61,61,361831,T302,B,1055A,,K,F,2148,E 8th St,,0,408,j6,,YYYYYYY,,,WH,,2015,,0,33 3,71A-Insp Sticker Expired (NYS),,,
